city,lab_type,count
,Fab Lab,10
's-Hertogenbosch,Fab Lab,1
6th of October City,Fab Lab,1
75005,Fab Lab,1
ANCONA,Fab Lab,1
Aachen,Fab Lab,1
Aberdeen,Fab Lab,2
Abidjan,Fab Lab,3
Addis Ababa,Fab Lab,1
Adelaide,Fab Lab,1
Agrigento,Fab Lab,1
Ahmedabad,Fab Lab,1
Aix-en-Provence,Fab Lab,2
Ajaccio,Fab Lab,1
Akhaltsikhe,Fab Lab,1
Akranes,Fab Lab,1
Akureyri,Fab Lab,1
Al Khobar,Fab Lab,1
Al Qatif,Fab Lab,2
Albacete,DIYBio Lab,1
Albi,Fab Lab,1
Alboraia,Fab Lab,1
Albuquerque,Fab Lab,2
Alessandria,Fab Lab,1
Alesund,Fab Lab,1
Alexandria,Fab Lab,3
Alkmaar,Fab Lab,1
Almada,Fab Lab,1
Almendralejo,Fab Lab,1
Alqosor,Fab Lab,1
Alseeb,Fab Lab,1
Altrincham,Fab Lab,1
Amanlis,Fab Lab,1
Ambrolauri,Fab Lab,1
Ambérieu-en-Bugey,Fab Lab,1
Amersfoort,Fab Lab,1
Amiens,Fab Lab,1
Amman,Fab Lab,3
Amsterdam,DIYBio Lab,1
Amsterdam,Fab Lab,3
Anchorage,Fab Lab,1
Anderlecht,Fab Lab,1
Antibes,Fab Lab,1
Antofagasta,Fab Lab,1
Antwerpen,Fab Lab,2
Anápolis,Fab Lab,1
Aosta,Fab Lab,1
Apple Valley,Fab Lab,2
Appleton,Fab Lab,1
Ar-Rayyan,Fab Lab,1
Aracaju,Fab Lab,1
Arcos de Valdevez,Fab Lab,1
Arlington,Fab Lab,1
Arnhem,Fab Lab,1
Arras,Fab Lab,1
As Pontes de García Rodríguez,Fab Lab,1
Asheville,DIYBio Lab,1
Astana,Fab Lab,1
Athens,Fab Lab,1
Atlanta,Fab Lab,1
Atyrau,Fab Lab,1
Aubiere,Fab Lab,1
Auckland,DIYBio Lab,1
Auckland,Fab Lab,2
Auray,Fab Lab,1
Aurora,Fab Lab,2
Austin,DIYBio Lab,1
Autun,Fab Lab,1
Auxerre,Fab Lab,1
BHIMAVARAM,Fab Lab,1
Baie Mahault,Fab Lab,1
Bakersfield,Fab Lab,1
Baltimore,DIYBio Lab,1
Baltimore,Fab Lab,2
Bamako,Fab Lab,2
Bandung,Fab Lab,1
Bangalore,Fab Lab,2
Bangkok,DIYBio Lab,1
Bangkok,Fab Lab,1
Bangor,Fab Lab,1
Barbizon,Fab Lab,1
Barcelona,DIYBio Lab,1
Barcelona,Fab Lab,4
Basel,Fab Lab,1
Basildon,Fab Lab,1
Batumi,Fab Lab,2
Bayreuth,Fab Lab,1
Beauvais,Fab Lab,2
Beirut,Fab Lab,1
Belfast,Fab Lab,1
Belgrade,Fab Lab,1
Bellingham,Fab Lab,3
Bellinzago Novarese (NO),Fab Lab,1
Belo Horizonte,Fab Lab,2
Belval,Fab Lab,1
Belém,Fab Lab,1
Benton Harbor,Fab Lab,1
Beograd,Fab Lab,2
Bergamo,Fab Lab,1
Bergen op Zoom,Fab Lab,1
Berkeley,DIYBio Lab,1
Berlin,DIYBio Lab,1
Berlin,Fab Lab,3
Berne,Fab Lab,1
Besançon,Fab Lab,2
Bethesda,DIYBio Lab,1
Bethlehem,Fab Lab,1
Betim,Fab Lab,1
Bhopal,Fab Lab,1
Biarne,Fab Lab,1
Biddeford,Fab Lab,1
Biella,Fab Lab,1
Bielsko-Biala,Fab Lab,1
Bilbao,Fab Lab,2
Birmingham,Fab Lab,1
Blackburn,Fab Lab,1
Bloemfontein,Fab Lab,1
Blois,Fab Lab,1
Blue Hill,Fab Lab,1
Boadilla del Monte,Fab Lab,1
Bogota,Fab Lab,1
Bogotá,Fab Lab,1
Bologna,Fab Lab,1
Bonners Ferry,Fab Lab,1
Bordeaux,Fab Lab,2
Boston,DIYBio Lab,1
Boston,Fab Lab,8
