country,count,country_code
Argentina,1,ARG
Australia,4,AUS
Austria,1,AUT
Belgium,3,BEL
Brazil,3,BRA
Canada,5,CAN
Czechia,2,CZE
Denmark,1,DNK
France,2,FRA
Germany,5,DEU
Hungary,1,HUN
India,1,IND
Ireland,1,IRL
Israel,2,ISR
Italy,2,ITA
Japan,1,JPN
Mexico,1,MEX
New Zealand,2,NZL
PRC,1,HKG
Peru,1,PER
Poland,1,POL
Russia,1,RUS
Singapore,1,SGP
Slovakia,1,SVK
Slovenia,1,SVN
Spain,2,ESP
Sweden,1,SWE
Switzerland,4,CHE
Thailand,1,THA
The Netherlands,3,NLD
Ukraine,1,UKR
United Kingdom,9,GBR
United States of America,38,USA
